char,pinyin,meaning,grade
解,,第1课 识读字,4
内,,第1课 识读字,4
预,,第1课 识读字,4
况,,第1课 识读字,4
众,,第1课 识读字,4
播,,第1课 识读字,4
续,,第1课 识读字,4
剧,,第1课 识读字,4
集,,第1课 识读字,4
精,,第1课 识读字,4
换,,第1课 识读字,4
言,,第1课 识读字,4
投,,第1课 识读字,4
掌,,第1课 识读字,4
疲,,第1课 识读字,4
倦,,第1课 识读字,4
议,,第1课 识读字,4
蹈,,第1课 识读字,4
秘,,第1课 识读字,4
密,,第1课 识读字,4
闻,,第1课 识写字,4
内,,第1课 识写字,4
外,,第1课 识写字,4
部,,第1课 识写字,4
众,,第1课 识写字,4
精,,第1课 识写字,4
彩,,第1课 识写字,4
拍,,第1课 识写字,4
刚,,第1课 识写字,4
建,,第1课 识写字,4
苹,,第2课 识读字,4
词,,第2课 识读字,4
丸,,第2课 识读字,4
鼓,,第2课 识读字,4
帽,,第2课 识读字,4
套,,第2课 识读字,4
递,,第2课 识读字,4
姑,,第2课 识读字,4
烟,,第2课 识读字,4
棒,,第2课 识读字,4
倾,,第2课 识读字,4
暖,,第2课 识读字,4
示,,第2课 识读字,4
忽,,第2课 识读字,4
灵,,第2课 识读字,4
挤,,第2课 识读字,4
靠,,第2课 识读字,4
撑,,第2课 识读字,4
担,,第2课 识读字,4
讨,,第2课 识写字,4
论,,第2课 识写字,4
串,,第2课 识写字,4
丸,,第2课 识写字,4
姑,,第2课 识写字,4
乌,,第2课 识写字,4
忽,,第2课 识写字,4
灵,,第2课 识写字,4
急,,第2课 识写字,4
怕,,第2课 识写字,4
尊,,第3课 识读字,4
敬,,第3课 识读字,4
辈,,第3课 识读字,4
警,,第3课 识读字,4
察,,第3课 识读字,4
悔,,第3课 识读字,4
脾,,第3课 识读字,4
模,,第3课 识读字,4
型,,第3课 识读字,4
碗,,第3课 识读字,4
吞,,第3课 识读字,4
舍,,第3课 识读字,4
醒,,第3课 识读字,4
睁,,第3课 识读字,4
补,,第3课 识读字,4
谎,,第3课 识读字,4
泪,,第3课 识读字,4
落,,第3课 识读字,4
批,,第3课 识读字,4
评,,第3课 识读字,4
尊,,第3课 识写字,4
敬,,第3课 识写字,4
偷,,第3课 识写字,4
悔,,第3课 识写字,4
架,,第3课 识写字,4
近,,第3课 识写字,4
迷,,第3课 识写字,4
补,,第3课 识写字,4
泪,,第3课 识写字,4
您,,第3课 识写字,4
值,,第4课 识读字,4
责,,第4课 识读字,4
擦,,第4课 识读字,4
扇,,第4课 识读字,4
归,,第4课 识读字,4
插,,第4课 识读字,4
阅,,第4课 识读字,4
耍,,第4课 识读字,4
劝,,第4课 识读字,4
注,,第4课 识读字,4
证,,第4课 识读字,4
皱,,第4课 识读字,4
眉,,第4课 识读字,4
默,,第4课 识读字,4
由,,第4课 识读字,4
于,,第4课 识读字,4
纷,,第4课 识读字,4
赞,,第4课 识读字,4
责,,第4课 识写字,4
食,,第4课 识写字,4
插,,第4课 识写字,4
注,,第4课 识写字,4
意,,第4课 识写字,4
静,,第4课 识写字,4
由,,第4课 识写字,4
于,,第4课 识写字,4
脚,,第4课 识写字,4
净,,第4课 识写字,4
任,,第4课 识写字,4
防,,第5课 识读字,4
针,,第5课 识读字,4
育,,第5课 识读字,4
继,,第5课 识读字,4
烧,,第5课 识读字,4
药,,第5课 识读字,4
澡,,第5课 识读字,4
戴,,第5课 识读字,4
项,,第5课 识读字,4
差,,第5课 识读字,4
闷,,第5课 识读字,4
胆,,第5课 识读字,4
微,,第5课 识读字,4
松,,第5课 识读字,4
勇,,第5课 识读字,4
骗,,第5课 识读字,4
闭,,第5课 识读字,4
哇,,第5课 识读字,4
并,,第5课 识读字,4
针,,第5课 识写字,4
束,,第5课 识写字,4
室,,第5课 识写字,4
药,,第5课 识写字,4
检,,第5课 识写字,4
查,,第5课 识写字,4
伸,,第5课 识写字,4
闭,,第5课 识写字,4
夫,,第6课 识读字,4
武,,第6课 识读字,4
族,,第6课 识读字,4
团,,第6课 识读字,4
训,,第6课 识读字,4
迎,,第6课 识读字,4
握,,第6课 识读字,4
励,,第6课 识读字,4
器,,第6课 识读字,4
丰,,第6课 识读字,4
富,,第6课 识读字,4
啦,,第6课 识读字,4
辛,,第6课 识读字,4
弃,,第6课 识读字,4
坚,,第6课 识读字,4
持,,第6课 识读字,4
段,,第6课 识读字,4
登,,第6课 识读字,4
幸,,第6课 识读字,4
享,,第6课 识读字,4
功,,第6课 识写字,4
夫,,第6课 识写字,4
所,,第6课 识写字,4
团,,第6课 识写字,4
始,,第6课 识写字,4
久,,第6课 识写字,4
军,,第6课 识写字,4
辛,,第6课 识写字,4
苦,,第6课 识写字,4
健,,第6课 识写字,4
康,,第6课 识写字,4
孕,,第7课 识读字,4
妇,,第7课 识读字,4
厢,,第7课 识读字,4
乘,,第7课 识读字,4
随,,第7课 识读字,4
塑,,第7课 识读字,4
料,,第7课 识读字,4
约,,第7课 识读字,4
歉,,第7课 识读字,4
舅,,第7课 识读字,4
移,,第7课 识读字,4
命,,第7课 识读字,4
终,,第7课 识读字,4
乎,,第7课 识读字,4
滚,,第7课 识读字,4
秩,,第7课 识读字,4
序,,第7课 识读字,4
耐,,第7课 识读字,4
待,,第7课 识读字,4
悄,,第7课 识读字,4
厢,,第7课 识写字,4
乘,,第7课 识写字,4
劝,,第7课 识写字,4
思,,第7课 识写字,4
馆,,第7课 识写字,4
拼,,第7课 识写字,4
命,,第7课 识写字,4
挤,,第7课 识写字,4
摇,,第7课 识写字,4
抢,,第7课 识写字,4
危,,第8课 识读字,4
险,,第8课 识读字,4
遵,,第8课 识读字,4
守,,第8课 识读字,4
通,,第8课 识读字,4
规,,第8课 识读字,4
则,,第8课 识读字,4
祸,,第8课 识读字,4
另,,第8课 识读字,4
挥,,第8课 识读字,4
巨,,第8课 识读字,4
困,,第8课 识读字,4
达,,第8课 识读字,4
顺,,第8课 识读字,4
血,,第8课 识读字,4
访,,第8课 识读字,4
标,,第8课 识读字,4
义,,第8课 识读字,4
获,,第8课 识读字,4
扬,,第8课 识读字,4
通,,第8课 识写字,4
救,,第8课 识写字,4
另,,第8课 识写字,4
照,,第8课 识写字,4
顾,,第8课 识写字,4
司,,第8课 识写字,4
被,,第8课 识写字,4
困,,第8课 识写字,4
血,,第8课 识写字,4
盲,,第9课 识读字,4
熟,,第9课 识读字,4
民,,第9课 识读字,4
供,,第9课 识读字,4
沟,,第9课 识读字,4
洁,,第9课 识读字,4
饮,,第9课 识读字,4
摊,,第9课 识读字,4
糖,,第9课 识读字,4
厌,,第9课 识读字,4
般,,第9课 识读字,4
其,,第9课 识读字,4
辣,,第9课 识读字,4
橙,,第9课 识读字,4
牌,,第9课 识读字,4
楚,,第9课 识读字,4
依,,第9课 识读字,4
笨,,第9课 识读字,4
而,,第9课 识读字,4
居,,第9课 识写字,4
民,,第9课 识写字,4
铁,,第9课 识写字,4
座,,第9课 识写字,4
店,,第9课 识写字,4
味,,第9课 识写字,4
其,,第9课 识写字,4
清,,第9课 识写字,4
楚,,第9课 识写字,4
离,,第9课 识写字,4
烦,,第10课 识读字,4
螃,,第10课 识读字,4
蟹,,第10课 识读字,4
粉,,第10课 识读字,4
貌,,第10课 识读字,4
无,,第10课 识读字,4
占,,第10课 识读字,4
柜,,第10课 识读字,4
壶,,第10课 识读字,4
洒,,第10课 识读字,4
拖,,第10课 识读字,4
睬,,第10课 识读字,4
肯,,第10课 识读字,4
敲,,第10课 识读字,4
羞,,第10课 识读字,4
显,,第10课 识读字,4
洁,,第10课 识写字,4
粉,,第10课 识写字,4
管,,第10课 识写字,4
助,,第10课 识写字,4
无,,第10课 识写字,4
耍,,第10课 识写字,4
推,,第10课 识写字,4
喊,,第10课 识写字,4
教,,第10课 识写字,4
难,,第10课 识写字,4
曲,,第11课 识读字,4
令,,第11课 识读字,4
枪,,第11课 识读字,4
席,,第11课 识读字,4
秒,,第11课 识读字,4
冠,,第11课 识读字,4
领,,第11课 识读字,4
奖,,第11课 识读字,4
飘,,第11课 识读字,4
此,,第11课 识读字,4
既,,第11课 识读字,4
速,,第11课 识读字,4
奔,,第11课 识读字,4
摔,,第11课 识读字,4
焦,,第11课 识读字,4
亚,,第11课 识读字,4
优,,第11课 识读字,4
秀,,第11课 识读字,4
绩,,第11课 识读字,4
曲,,第11课 识写字,4
令,,第11课 识写字,4
举,,第11课 识写字,4
指,,第11课 识写字,4
选,,第11课 识写字,4
终,,第11课 识写字,4
级,,第11课 识写字,4
既,,第11课 识写字,4
抱,,第11课 识写字,4
取,,第11课 识写字,4
鹅,,第12课 识读字,4
南,,第12课 识读字,4
北,,第12课 识读字,4
览,,第12课 识读字,4
烈,,第12课 识读字,4
旅,,第12课 识读字,4
介,,第12课 识读字,4
绍,,第12课 识读字,4
景,,第12课 识读字,4
兵,,第12课 识读字,4
列,,第12课 识读字,4
泉,,第12课 识读字,4
宾,,第12课 识读字,4
朝,,第12课 识读字,4
欣,,第12课 识读字,4
赏,,第12课 识读字,4
纪,,第12课 识读字,4
充,,第12课 识读字,4
顺,,第12课 识写字,4
屋,,第12课 识写字,4
商,,第12课 识写字,4
热,,第12课 识写字,4
假,,第12课 识写字,4
传,,第12课 识写字,4
围,,第12课 识写字,4
握,,第12课 识写字,4
群,,第12课 识写字,4
裂,,第13课 识读字,4
娘,,第13课 识读字,4
拜,,第13课 识读字,4
仙,,第13课 识读字,4
弹,,第13课 识读字,4
钢,,第13课 识读字,4
琴,,第13课 识读字,4
俱,,第13课 识读字,4
承,,第13课 识读字,4
拒,,第13课 识读字,4
绝,,第13课 识读字,4
之,,第13课 识读字,4
挑,,第13课 识读字,4
拆,,第13课 识读字,4
怒,,第13课 识读字,4
剩,,第13课 识读字,4
扛,,第13课 识读字,4
丈,,第13课 识读字,4
柱,,第13课 识读字,4
缩,,第13课 识读字,4
块,,第13课 识写字,4
突,,第13课 识写字,4
婆,,第13课 识写字,4
男,,第13课 识写字,4
许,,第13课 识写字,4
宝,,第13课 识写字,4
特,,第13课 识写字,4
摸,,第13课 识写字,4
言,,第13课 识写字,4
语,,第13课 识写字,4
刻,,第13课 识写字,4
皂,,第14课 识读字,4
典,,第14课 识读字,4
筷,,第14课 识读字,4
匙,,第14课 识读字,4
拳,,第14课 识读字,4
乒,,第14课 识读字,4
乓,,第14课 识读字,4
厨,,第14课 识读字,4
蕉,,第14课 识读字,4
漫,,第14课 识读字,4
铜,,第14课 识读字,4
巧,,第14课 识读字,4
穷,,第14课 识读字,4
压,,第14课 识读字,4
骂,,第14课 识读字,4
瞪,,第14课 识读字,4
凶,,第14课 识读字,4
怜,,第14课 识读字,4
竟,,第14课 识读字,4
慌,,第14课 识读字,4
欠,,第14课 识读字,4
递,,第14课 识写字,4
词,,第14课 识写字,4
典,,第14课 识写字,4
挥,,第14课 识写字,4
落,,第14课 识写字,4
骂,,第14课 识写字,4
凶,,第14课 识写字,4
怜,,第14课 识写字,4
睁,,第14课 识写字,4
慌,,第14课 识写字,4
春,,第15课 识读字,4
盛,,第15课 识读字,4
秋,,第15课 识读字,4
爽,,第15课 识读字,4
舒,,第15课 识读字,4
夏,,第15课 识读字,4
炎,,第15课 识读字,4
冬,,第15课 识读字,4
寒,,第15课 识读字,4
雪,,第15课 识读字,4
堆,,第15课 识读字,4
寄,,第15课 识读字,4
邮,,第15课 识读字,4
京,,第15课 识读字,4
潮,,第15课 识读字,4
袖,,第15课 识读字,4
季,,第15课 识读字,4
世,,第15课 识读字,4
界,,第15课 识读字,4
导,,第15课 识读字,4
舒,,第15课 识写字,4
炎,,第15课 识写字,4
刮,,第15课 识写字,4
展,,第15课 识写字,4
观,,第15课 识写字,4
碰,,第15课 识写字,4
邮,,第15课 识写字,4
票,,第15课 识写字,4
泳,,第15课 识写字,4
希,,第15课 识写字,4
望,,第15课 识写字,4
蛇,,第16课 识读字,4
膀,,第16课 识读字,4
颈,,第16课 识读字,4
鹿,,第16课 识读字,4
壁,,第16课 识读字,4
蝴,,第16课 识读字,4
蝶,,第16课 识读字,4
趴,,第16课 识读字,4
绕,,第16课 识读字,4
丑,,第16课 识读字,4
哦,,第16课 识读字,4
释,,第16课 识读字,4
与,,第16课 识读字,4
牢,,第16课 识读字,4
钩,,第16课 识读字,4
蹲,,第16课 识读字,4
侧,,第16课 识读字,4
臂,,第16课 识读字,4
鸡,,第16课 识写字,4
鸭,,第16课 识写字,4
速,,第16课 识写字,4
漂,,第16课 识写字,4
趴,,第16课 识写字,4
惊,,第16课 识写字,4
奇,,第16课 识写字,4
丑,,第16课 识写字,4
挂,,第16课 识写字,4
枝,,第16课 识写字,4
晒,,第16课 识写字,4
